DEPTH,GR7-3,GR7-8,GRA-53
1467.94,75.00,,
1468.44,77.50,,
1468.94,71.88,,
1469.44,75.88,,
1469.94,73.88,,
1470.44,78.38,,
1470.94,74.69,,
1471.44,74.44,,
1471.94,72.38,,
1472.44,70.19,,
1472.94,72.38,,
1473.44,70.19,,
1473.94,72.94,,
1474.44,70.19,,
1474.94,70.50,,
1475.44,68.31,,
1475.94,71.44,,
1476.44,72.13,,
1476.94,70.63,,
1477.44,66.75,,
1477.94,67.19,,
1478.44,70.38,,
1478.94,71.75,,
1479.44,70.63,,
1479.94,67.19,,
1480.44,67.31,,
1480.94,69.25,,
1481.44,73.38,,
1481.94,75.13,,
1482.44,75.88,,
1482.94,72.13,,
1483.44,71.88,,
1483.94,73.13,,
1484.44,77.19,,
1484.94,75.06,,
1485.44,68.25,,
1485.94,65.38,,
1486.44,66.88,,
1486.94,71.75,,
1487.44,74.44,,
1487.94,71.13,,
1488.44,71.81,,
1488.94,73.44,,
1489.44,74.13,,
1489.94,70.19,,
1490.44,69.56,,
1490.94,71.75,,
1491.44,73.00,,
1491.94,72.94,,
1492.44,70.13,,
1492.94,70.50,,
1493.44,69.63,,
1493.94,71.88,,
1494.44,74.00,,
1494.94,73.63,,
1495.44,74.31,,
1495.94,70.75,,
1496.44,71.50,,
1496.94,73.13,,
1497.44,73.56,,
1497.94,70.69,,
1498.44,67.13,,
1498.94,67.06,,
1499.44,74.00,,
1499.94,78.56,35.81,
1500.44,80.00,35.89,
1500.94,76.63,36.05,
1501.44,72.44,36.50,
1501.94,67.69,36.80,
1502.44,66.25,36.47,
1502.94,71.00,36.10,
1503.44,72.00,34.98,
1503.94,72.50,33.86,
1504.44,69.25,33.37,
1504.94,71.69,33.03,
1505.44,69.75,32.41,
1505.94,68.88,31.85,
1506.44,69.75,31.82,
1506.94,70.63,31.83,
1507.44,72.06,32.09,
1507.94,71.50,32.61,
1508.44,71.31,33.33,
1508.94,72.94,34.48,
1509.44,76.69,35.55,
1509.94,82.31,36.05,
1510.44,80.31,36.35,
1510.94,75.25,36.19,
1511.44,67.63,36.03,
1511.94,68.00,35.87,
1512.44,72.06,35.71,
1512.94,77.38,35.93,
1513.44,78.31,36.54,
1513.94,77.13,37.16,
1514.44,73.69,37.92,
1514.94,71.44,38.78,
1515.44,71.00,43.82,
1515.94,74.69,51.52,
